n,id,titulo_limpo,outlet,source_type,related_term,data,tinha_cdata,pista_subcadeia,CLASSIFICACAO_rotulo_certo_S_N_D,NOTAS
56,326f0d66-0a44-415e-962b-a77fe8b2e946,José Maria Neves anuncia recandidatura a Cabo Verde,Observador,media,candidíase,2026-09-14,nao,termo[:6]='candid',,
57,4c9b9530-0ac9-4adc-a1e4-e8b458a6c613,Ex-vice Kamala Harris admite nova candidatura à presidência,Notícias ao Minuto,media,candidíase,2026-04-10,sim,termo[:6]='candid',,
58,48539c9e-7595-469a-85df-128e3c04a391,Ansiedade afeta um terço da população em Portugal,PÚBLICO,media,ansiedade,2025-04-04,nao,termo[:6]='ansied',,
59,189910be-42b7-4607-b50a-1a7334d6faa7,Burnout: a epidemia global do século XXI chegou aos portugueses,EXPRESSO,media,burnout,2024-07-30,nao,termo[:6]='burnou',,
60,25516776-6581-448a-9b38-297e6636de41,"Kamala Harris, ex-vice dos EUA, admite nova candidatura à presidência",Público,media,candidíase,2026-04-10,nao,termo[:6]='candid',,
61,69020c32-1a17-4fe6-af58-fee6a73c0c4f,CNP’26: Call for Abstracts – Prazo de candidaturas prolongado até 1 de julho de 2026,SP Psiquiatria e Saúde Mental,institucional,candidíase,2026-06-19,nao,termo[:6]='candid',,
62,12451acc-b8eb-4619-8976-09bb9927503d,Dia Mundial da Obesidade: O impacto do excesso de peso na saúde da coluna,Sociedade Portuguesa Patologia Coluna Vertebral,institucional,diabetes tipo 2,2026-02-27,nao,termo[:3]='dia',,
63,f8137b74-7a66-4adb-bdf1-6f3b739558c8,Michelle Bolsonaro apresentada como candidata ao Senado brasileiro,Notícias ao Minuto,media,candidíase,2026-08-03,sim,termo[:6]='candid',,
64,0af2bd25-464f-4a78-9eea-a7e96bfb386a,Módulo 2,Sociedade Portuguesa de Cardiologia,institucional,perturbações do espectro do autismo,2026-04-08,nao,,,
65,1cc298fa-c054-4a58-8fe0-e6731d7718a1,Estudo detecta microplásticos em 90% das garrafas de água portuguesas,RTP,media,microplásticos,2025-07-22,nao,termo[:6]='microp',,
66,9b3029d1-f2e4-4cba-8f54-a12b575e4f44,Má qualidade do ar subsiste nas zonas de maior tráfego rodoviário,Diário de Notícias,media,poluição e saúde,2026-09-07,nao,,,
67,9aaa3bcc-ecd7-48a2-9cd2-cfce4810b0f2,SPPSM lança 1.º Concurso de Expressão Artística,SP Psiquiatria e Saúde Mental,institucional,candidíase,2026-06-12,nao,,,
68,7888438e-d146-43e1-bbd2-75a99a5ce9c7,Osteoporose afeta 500 mil portugueses e é subdiagnosticada,Diário de Notícias,media,osteoporose,2025-01-30,nao,termo[:6]='osteop',,
69,c6249871-4fe9-41f4-957b-627b9953d7de,Os molhos picantes da madeirense Queima Beiças vão representar Portugal no Berlin Chili Fest,Público,media,refluxo gastroesofágico,2026-08-31,nao,,,
70,e5faef78-de18-4025-8566-bc269aade1da,“Vamos ficar de olhos abertos”: Comissão Europeia promove campanha pelos direitos das vítimas de crime,APAV,institucional,síndrome do ovário poliquístico,2026-08-12,nao,,,
71,842cd1d8-3639-4085-8d4e-7fc017b96524,O vício do turismo tem cura: o caso de Dubrovnik,Público,media,dependências,2026-04-04,nao,,,
72,ae109aba-e33b-4847-8549-78146d597147,Demência. O sinal que pode aparecer muito antes da perda de memória,Notícias ao Minuto,media,demência,2026-09-07,sim,termo[:6]='demenc',,
73,849f228a-53b6-4b3b-b6c3-c027082091b7,A camisola não faz o líder,Observador,media,candidíase,2026-08-09,nao,,,
74,72aa9179-09a6-4fc6-b5fa-b98394775697,DGS publica novas orientações sobre saúde mental,DGS,institucional,ansiedade,2025-02-01,nao,,,
75,2cf7be07-3693-43b8-ac99-63004a2c0c52,6 alimentos 'maus' que pode (e deve) comer para reduzir o stress,Notícias ao Minuto,media,stress,2026-09-05,sim,termo[:6]='stress',,
76,f4849815-ee02-4347-98c8-5693f82d78c8,Poluição do ar em Lisboa ultrapassa limites da OMS,TSF,media,poluição e saúde,2025-03-12,nao,termo[:6]='poluic',,
77,4c6b737b-d125-4ba7-8fb7-6ef675b9a639,Amasso total. Bilbao dá primeira derrota da época ao Atlético de Madrid,Notícias ao Minuto,media,perturbação obsessivo-compulsiva,2026-09-05,sim,,,
78,f8fc15f0-92b2-40b9-8641-b6eb2cf4c57b,SPPCV lança Bolsa de Investigação 2026 com prémio de cinco mil euros,Sociedade Portuguesa Patologia Coluna Vertebral,institucional,candidíase,2026-01-21,nao,,,
79,69959f00-6714-4cad-b7ef-28f89548e2e5,Mulher de Jair Bolsonaro candidata ao Senado brasileiro,Observador,media,candidíase,2026-08-03,nao,termo[:6]='candid',,
80,441d481b-6373-4093-bcdc-8fa70854d6fd,Colesterol alto? Estatinas: perigosas ou essenciais?,Observador,media,colesterol alto,2026-03-30,nao,termo[:6]='colest',,
81,9be355b1-bf73-43d1-bc4f-d4a264759b95,"Gravidez. ""Descobri mutação genética. Fazia com que o sangue coagulasse""",Notícias ao Minuto,media,refluxo gastroesofágico,2026-09-14,sim,,,
82,84a95909-62bf-459c-9e2e-503a473a2d10,Mau tempo. Há 34 mil candidaturas para apoios para reconstrução de casas,Notícias ao Minuto,media,candidíase,2026-04-08,sim,termo[:6]='candid',,
83,97a5ec29-a8e3-4100-b40d-3279598eefc7,"Sépsis. ""Diagnóstico pode ser desafiante. Não existe um único sintoma""",Notícias ao Minuto,media,sepsis,2026-09-14,sim,termo[:6]='sepsis',,
84,601dc35c-e34e-4f85-ae79-fddd87cd4dbc,PRR já desembolsou 14.721 milhões de euros e candidaturas aprovadas dispararam para 406.684,Diário de Notícias,media,candidíase,2026-09-09,nao,termo[:6]='candid',,
85,b0b5127e-eb5a-4e90-a7c9-7fe1087bdb07,Abertura de concurso a financiamento público para projetos na área da alimentação escolar,Nutrimento (PNPAS),institucional,candidíase,2025-09-15,nao,,,
86,f67792b7-9c62-4b36-a412-211b925e51cf,Estudo revela aumento de 40% nos casos de ansiedade em jovens portugueses,Público,media,ansiedade,2025-01-15,nao,termo[:6]='ansied',,
87,8a8ece24-fadf-40ce-acb6-d90c94e0511c,"AR ouve na sexta-feira Tiago Antunes, candidato a Provedor de Justiça",Notícias ao Minuto,media,candidíase,2026-04-08,sim,termo[:6]='candid',,
88,ecee223f-2474-476d-a63c-ffbc840d88a9,Resumo do 1.º dia,Sociedade Portuguesa de Cardiologia,institucional,perturbações do espectro do autismo,2026-09-10,nao,,,
