n,id,titulo_limpo,outlet,source_type,related_term,data,CLASSIFICACAO_rotulo_certo_S_N_D,NOTAS
1.0,eb7bc20c-3952-46cf-a6c3-1b0cd437187f,"Presidente convencido que até à época dos incêndios ""muito se fará""",Notícias ao Minuto,media,perturbação obsessivo-compulsiva,2026-04-09,N,
2.0,9685e979-e97c-43a7-b99f-e55981bfeae2,Diagnósticos de TDAH em adultos triplicam em Portugal,Expresso,media,TDAH,2025-03-10,S,
3.0,54de4469-ce93-4118-9557-8025e070b8c0,Diabetes e exercício físico,SP Medicina Interna,institucional,diabetes tipo 2,2026-04-06,S,
4.0,cd56b4fc-b811-4484-acdb-535e4e47ec30,"""Só me apetece abraçar esta criança. Vai conhecer a rejeição e solidão""",Notícias ao Minuto,media,solidão,2026-08-07,S,
5.0,7b40f6b0-b179-4497-8dce-ba08768ed449,Ex-ministra Janine Lélis retira candidatura à presidência de Cabo Verde,Notícias ao Minuto,media,candidíase,2026-08-14,N,
6.0,1b654cc8-0846-403f-9763-47174e0c8410,Obesidade infantil: Portugal entre os piores da Europa,CM Jornal,media,obesidade infantil,2025-02-05,S,
7.0,7c1799aa-ad62-450b-95b7-e6eb568cc258,"Pepa: ""Acabei o jogo com azia, senti que poderíamos ter virado o jogo""",Notícias ao Minuto,media,refluxo gastroesofágico,2026-08-08,S,Não directamente mas pode vir a estar associado a maior numero de pesquisas sobre azia - se assim os dados nos disserem
8.0,d34abf63-526e-44ed-b609-548b17475299,Gripe das aves volta a ser detetada em Torres Vedras,CM JORNAL,media,gripe aviária H5N1,2025-03-05,S,
9.0,05e25a36-3b0c-4bfa-ba43-e038270b914f,Novo medicamento pode ser a cura para a diabetes? Resultados surpreendem,Notícias ao Minuto,media,diabetes tipo 2,2026-04-09,S,
10.0,36f41e9c-fa8b-43ca-9113-3b8cefc66c98,Ainda não Chega de hipocrisia?,Observador,media,perturbação obsessivo-compulsiva,2026-04-11,N,
11.0,9a6de9db-7515-4f67-8d1e-90a798d3c764,Projecto Sophia,Observador,media,síndrome do ovário poliquístico,2026-04-11,N,
12.0,577e2b5f-336f-458f-a6fa-18570a6514af,Estudo português revela impacto da menopausa na produtividade laboral,RTP,media,menopausa,2025-12-03,S,
13.0,08568f68-c03f-4a10-ad12-12906c74213a,Ordem dos Médicos alerta para falta de psiquiatras no SNS,Ordem dos Médicos,institucional,depressão,2025-03-05,S,
14.0,61c5eb6e-8965-4cb7-9c1e-17ba088b8878,Sporting-Alverca: Leão em busca de dar a volta a início de época difícil,Notícias ao Minuto,media,perturbação obsessivo-compulsiva,2026-08-22,N,
15.0,1f753d24-e56b-43a7-b75b-451427744b44,Sophia de Mello Breyner defendeu na Constituinte a cultura e as pessoas com deficiência,RTP,media,síndrome do ovário poliquístico,2026-03-31,S,O related term não faz sentido
16.0,73bcd052-d54a-4306-8c18-480108143e73,Long COVID: Portugal integra estudo europeu de longo prazo,Público,media,long covid,2026-02-18,S,
17.0,a0309dfb-5f3c-4996-b3b5-efbdb97c0688,Fretilin decide não apresentar candidato às presidenciais de Timor-Leste,Notícias ao Minuto,media,candidíase,2026-08-30,N,
18.0,97a56a2c-ffd7-41ea-be0c-137405b3bd72,DGS lança campanha contra uso excessivo de antibióticos,Diário de Notícias,media,resistência antibióticos,2026-03-08,S,
19.0,ca2c67b8-a2c7-46cd-bd3d-4e8d43352afd,Instituto Ricardo Jorge assinala Dia Mundial das Doenças Raras 2026,INSA,institucional,perturbações do espectro do autismo,2026-03-06,S,O RELATED TER NAO PARECE TER NADA A VER COM DOENÇAS RARAS
20.0,ac0b52d7-56aa-497c-8997-baa6de4501dc,Perguntar para uma amiga,Público,media,avc,2026-03-30,D,Não faço ideia a que se refere a noticia
21.0,f7efda1b-215c-4a1c-a3a9-b57ec4aa4242,Young Talents Contest 2027: Oportunidade Internacional para Internos,SP Medicina Interna,institucional,candidíase,2026-09-12,S,O related term em nada tem a ver com a noticia
22.0,aedd57a7-71e5-4118-ad40-8f289584ace9,CathStart -Curso de Simulação em Coronariografia Diagnóstica,Sociedade Portuguesa de Cardiologia,institucional,terapia hormonal,2026-09-04,D,RELATED TERM PARECE INCORRECTO
23.0,fc5844c6-3f08-4176-85b6-5f79bd9cb4b2,Corte radical. Haaland arranca nova época com mudança... de visual,Notícias ao Minuto,media,perturbação obsessivo-compulsiva,2026-08-23,N,
24.0,c035da4b-52aa-41be-b2fd-bf76859addd8,Compasso pascal. Mantém-se a tradição da visita do pároco às casas,RTP,media,dependências,2026-04-05,N,
25.0,0d8a93e2-fdd9-4429-a396-b48c6b9be7b7,"Lula oficializa candidatura à presidência do Brasil: ""Mudar muita coisa""",Notícias ao Minuto,media,candidíase,2026-08-02,N,
26.0,7ea61d77-88fd-49ba-bdf0-35bef7ca49b2,Ópera portuguesa leva mito de Pigmalião a um futuro pós-apocalíptico,Notícias ao Minuto,media,perturbação obsessivo-compulsiva,2026-08-31,N,
27.0,cf1dc59b-3853-47dd-b489-64e007964304,Bipolaridade. Entre o estigma e o silêncio,Observador,media,perturbação bipolar,2026-03-27,S,
28.0,58491797-3230-479e-9d05-b64603308443,Eurodeputado Raphael Glucksmann candidata-se às presidenciais francesas,Notícias ao Minuto,media,candidíase,2026-08-23,N,
29.0,c267e33c-8bb8-4547-a6f4-5debde79d451,"Morreu Vincent Pastore, ator da série ""Os Sopranos"". Tinha 80 anos",Notícias ao Minuto,media,síndrome do ovário poliquístico,2026-08-02,N,
30.0,03da0dae-6354-4fa7-a689-aab12294807b,Long covid: novos estudos revelam danos cerebrais persistentes,Observador,media,long covid,2025-01-25,S,
31.0,51bbbfc0-f95a-4147-8134-b223f254c9e4,Suores noturnos na menopausa: novas terapias disponíveis,Público,media,suores noturnos,2025-01-18,S,
32.0,79a80c20-441c-4133-b357-e9ea339097e8,"Jantar ""Mar à Mesa"" promove candidatura de arte xávega à UNESCO",Notícias ao Minuto,media,candidíase,2026-09-06,N,
33.0,2b4c1b4b-b282-4db1-ace1-35ca1644ca16,Académica goleia Chaves no duelo inaugural da época 2026/27,Notícias ao Minuto,media,perturbação obsessivo-compulsiva,2026-08-08,N,
34.0,c6c0eca5-5993-4f4a-9f03-a6cb8772b571,Ex-ministro acusado da morte de candidato à presidência extraditado,Notícias ao Minuto,media,candidíase,2026-08-29,N,
35.0,99d87eb4-f725-4814-8f51-b61abe074b4a,Covid longa custa às economias da OCDE até 115.000 milhões anuais,Notícias ao Minuto,media,long covid,2026-04-08,S,
36.0,ea72d02a-a156-4d0d-8ee0-2a2e2c05063c,Vício do jogo. Pessoas tratadas em fevereiro são mais do que metade do ano passado,RTP,media,dependências,2026-04-11,S,
37.0,b663d961-804e-4135-8a5a-1497b2d945d3,Menopausa: novo tratamento hormonal aprovado pela EMA,Público,media,menopausa,2025-11-15,S,
38.0,ec2f0186-654e-4221-a0ad-20807bd352e4,Bélgica rejeita apoio a recandidatura de Infantino à presidência da FIFA,RTP,media,candidíase,2026-09-07,N,
39.0,f0c19c4c-427c-486f-8ba9-6e0e4b8a3633,Flávio Bolsonaro é oficialmente candidato à Presidência do Brasil,Diário de Notícias,media,candidíase,2026-07-25,N,
40.0,8ce6e569-f7f4-4b5f-97fd-2ffcb1f0af72,Mãe que matou filhos durante depressão pós-parto considerada inocente,Notícias ao Minuto,media,depressão,2026-08-29,S,
41.0,ec065fc1-1d70-4691-8a39-d170b422e055,CPSA contribui para declaração europeia que exige maior ação face a ondas de calor,Conselho Português para a Saúde e Ambiente,institucional,calor extremo e saúde,2026-07-24,S,
42.0,17b4d7ae-901d-4b91-a939-9f7553fca5b0,"Líder da UEFA não vai concorrer à presidência da FIFA, mas pede demissão de Infantino",Público,media,candidíase,2026-08-24,N,
43.0,3e4a1a30-be4f-4543-b13f-bf9db7d29bec,Olivier Faure é candidato às primárias da esquerda para presidenciais francesas,Notícias ao Minuto,media,candidíase,2026-08-30,N,
44.0,79bcb839-ac55-40e3-8033-81cafd6a7033,"Companhia de Teatro de Almada estreia ""Medida por Medida"" de Shakespeare",Notícias ao Minuto,media,perturbações do espectro do autismo,2026-08-22,N,
45.0,98aa8b4b-7d14-4573-ac99-1665ef4a92e4,Quer reduzir o risco de AVC? Evite estas 5 coisas durante a tarde,Notícias ao Minuto,media,avc,2026-09-14,S,
46.0,632fe93a-7868-4a8d-8a93-cdc133ec67f0,Raphael Glucksmann é candidato às presidenciais francesas,Observador,media,candidíase,2026-08-23,N,
47.0,10bb88b1-1489-47c9-a951-80d8469cff0c,"Alimento barato ajuda a reduzir risco de Alzheimer, conclui estudo",Notícias ao Minuto,media,alzheimer,2026-08-07,S,
48.0,96ec7f7a-ee73-41e2-b10c-7742955c6427,Chega insiste na descida dos impostos e acusa Montenegro de hipocrisia,Notícias ao Minuto,media,perturbação obsessivo-compulsiva,2026-09-05,N,
49.0,e494adc8-a41c-4152-a8b8-0ef49f6c1ff9,AVC: os três F que podem salvar uma vida,Observador,media,avc,2026-03-31,S,
50.0,de65c42b-e8c2-4a4e-a656-2dfa0bd53fa0,"""Universidades Politécnicas"" contribuíram para aumento de candidatos",Notícias ao Minuto,media,candidíase,2026-08-22,N,
51.0,d2b6052b-1b6f-485e-b20b-ad051d7e54f6,Módulo 4,Sociedade Portuguesa de Cardiologia,institucional,perturbações do espectro do autismo,2026-04-08,D,
52.0,87e802f0-4999-4c1b-a57d-56a512b24bd4,"A epidemia silenciosa das dores da coluna: um olhar de quem opera, mas prefere prevenir",Sociedade Portuguesa Patologia Coluna Vertebral,institucional,doenças cardiovasculares,2026-04-02,S,
53.0,f4f620e5-284f-4129-b3a6-067fda0f709e,Portugal continental com fraca qualidade do ar até quinta-feira diz a DGS,RTP,media,poluição e saúde,2026-04-06,S,
54.0,0000f09d-8ddf-4bb4-b88e-5f0258449005,5 Vinkkiä Jackpottien Valloittamiseen Rizk Casinolla,SP Enfermagem de Saúde Familiar,institucional,síndrome de intestino irritável,2026-03-19,D,
55.0,add37451-838f-4de2-92f4-43a644373bab,Má qualidade do ar subsiste nas zonas de maior tráfego,Observador,media,poluição e saúde,2026-09-07,S,
56.0,326f0d66-0a44-415e-962b-a77fe8b2e946,José Maria Neves anuncia recandidatura a Cabo Verde,Observador,media,candidíase,2026-09-14,N,
57.0,4c9b9530-0ac9-4adc-a1e4-e8b458a6c613,Ex-vice Kamala Harris admite nova candidatura à presidência,Notícias ao Minuto,media,candidíase,2026-04-10,N,
58.0,48539c9e-7595-469a-85df-128e3c04a391,Ansiedade afeta um terço da população em Portugal,PÚBLICO,media,ansiedade,2025-04-04,S,
59.0,189910be-42b7-4607-b50a-1a7334d6faa7,Burnout: a epidemia global do século XXI chegou aos portugueses,EXPRESSO,media,burnout,2024-07-30,S,
60.0,25516776-6581-448a-9b38-297e6636de41,"Kamala Harris, ex-vice dos EUA, admite nova candidatura à presidência",Público,media,candidíase,2026-04-10,N,
61.0,69020c32-1a17-4fe6-af58-fee6a73c0c4f,CNP’26: Call for Abstracts – Prazo de candidaturas prolongado até 1 de julho de 2026,SP Psiquiatria e Saúde Mental,institucional,candidíase,2026-06-19,S,
62.0,12451acc-b8eb-4619-8976-09bb9927503d,Dia Mundial da Obesidade: O impacto do excesso de peso na saúde da coluna,Sociedade Portuguesa Patologia Coluna Vertebral,institucional,diabetes tipo 2,2026-02-27,S,
63.0,f8137b74-7a66-4adb-bdf1-6f3b739558c8,Michelle Bolsonaro apresentada como candidata ao Senado brasileiro,Notícias ao Minuto,media,candidíase,2026-08-03,N,
64.0,0af2bd25-464f-4a78-9eea-a7e96bfb386a,Módulo 2,Sociedade Portuguesa de Cardiologia,institucional,perturbações do espectro do autismo,2026-04-08,D,
65.0,1cc298fa-c054-4a58-8fe0-e6731d7718a1,Estudo detecta microplásticos em 90% das garrafas de água portuguesas,RTP,media,microplásticos,2025-07-22,S,
66.0,9b3029d1-f2e4-4cba-8f54-a12b575e4f44,Má qualidade do ar subsiste nas zonas de maior tráfego rodoviário,Diário de Notícias,media,poluição e saúde,2026-09-07,S,
67.0,9aaa3bcc-ecd7-48a2-9cd2-cfce4810b0f2,SPPSM lança 1.º Concurso de Expressão Artística,SP Psiquiatria e Saúde Mental,institucional,candidíase,2026-06-12,S,
68.0,7888438e-d146-43e1-bbd2-75a99a5ce9c7,Osteoporose afeta 500 mil portugueses e é subdiagnosticada,Diário de Notícias,media,osteoporose,2025-01-30,S,
69.0,c6249871-4fe9-41f4-957b-627b9953d7de,Os molhos picantes da madeirense Queima Beiças vão representar Portugal no Berlin Chili Fest,Público,media,refluxo gastroesofágico,2026-08-31,N,
