created_at,date,id,keyword_id,outlet,related_term,source_type,title,url
2026-05-10T06:00:07.550731+00:00,2026-05-09,3090f65d-9b53-4f96-961a-4cb1740288ad,,Notícias ao Minuto,candidíase,media,<![CDATA[João Lourenço anuncia recandidatura à presidência do MPLA]]>,https://www.noticiasaominuto.com/mundo/2987056/joao-lourenco-anuncia-recandidatura-a-presidencia-do-mpla#utm_source=rss-ultima-hora&amp;utm_medium=rss&amp;utm_campaign=rssfeed
2026-05-29T06:00:11.679675+00:00,2026-05-28,309acf9c-147f-47ac-8d7c-6706c54692f1,,Observador,refluxo gastroesofágico,media,A cova que Passos está a cavar,https://observador.pt/opiniao/a-cova-que-passos-esta-a-cavar/
2026-05-16T06:00:11.05527+00:00,2026-05-15,30f6b4ab-cdca-4dd5-b83a-6a10bb40cc61,,Notícias ao Minuto,perturbações do espectro do autismo,media,<![CDATA[Filho de Britney Spears aparece pela 1.ª vez em dez anos em red carpet]]>,https://www.noticiasaominuto.com/fama/2990795/filho-de-britney-spears#utm_source=rss-ultima-hora&amp;utm_medium=rss&amp;utm_campaign=rssfeed
2026-04-10T06:01:22.80262+00:00,2026-03-26,3103dc3b-dc01-4137-9225-98ba1915147d,,APAV,candidíase,institucional,Prémio APAV para o Jornalismo Joana Marques Vidal 2026 &#124; Candidaturas Abertas,https://apav.pt/premio-apav-para-o-jornalismo-joana-marques-vidal-2026-candidaturas-abertas/
2026-04-22T06:00:56.704254+00:00,2026-04-21,311cb35a-bbb2-49a9-9f5a-afa33b7d8557,,SP Medicina Interna,perturbação obsessivo-compulsiva,institucional,V Encontro do NEECO reforça papel do POCUS na prática clínica em Portugal,https://www.spmi.pt/v-encontro-do-neeco-reforca-papel-do-pocus-na-pratica-clinica-em-portugal/
2026-04-15T06:00:08.095381+00:00,2026-04-14,311f067e-1421-41dd-af78-024b636918c8,,Notícias ao Minuto,poluição e saúde,media,"<![CDATA[Resíduos, riscos ambientais e qualidade do ar grandes desafios até 2030]]>",https://www.noticiasaominuto.com/pais/2972347/residuos-riscos-ambientais-e-qualidade-do-ar-grandes-desafios-ate-2030#utm_source=rss-ultima-hora&amp;utm_medium=rss&amp;utm_campaign=rssfeed
2026-08-28T06:00:06.059715+00:00,2026-08-27,3121c12b-5f19-4abb-a94d-866e6b5cf646,,Notícias ao Minuto,perturbação obsessivo-compulsiva,media,"<![CDATA[Ventura acusa PS de ""hipocrisia"" sobre IVA zero e combustíveis]]>",https://www.noticiasaominuto.com/pais/3042485/chega-acusa-ps-de-hipocrisia-sobre-reducao-do-iva-no-cabaz-alimentar-caudio-e-fotos#utm_source=rss-ultima-hora&amp;utm_medium=rss&amp;utm_campaign=rssfeed
2026-05-25T06:00:10.037375+00:00,2026-05-24,312d96cd-a902-484b-972c-576b4cb568f0,,Notícias ao Minuto,avc,media,"<![CDATA[Mulher de Ricardo Costa, treinador de andebol do Sporting, sofre AVC]]>",https://www.noticiasaominuto.com/fama/2994830/mulher-de-ricardo-costa-treinador-de-andebol-do-sporting-sofre-avc#utm_source=rss-ultima-hora&amp;utm_medium=rss&amp;utm_campaign=rssfeed
2026-07-12T06:00:37.332187+00:00,2026-07-09,31395ec5-d2e5-45c1-8402-8125e71dbba0,,Sociedade Portuguesa Patologia Coluna Vertebral,demência,institucional,"Cérebro e coluna: envelhecem juntos, protegem-se juntos",https://sppcv.org/artigos-de-opiniao/cerebro-e-coluna-envelhecem-juntos-protegem-se-juntos/
2026-08-23T06:00:14.075723+00:00,2026-08-20,315ba2fd-c500-4cf7-a69b-677184f2b335,,Notícias ao Minuto,depressão,media,"<![CDATA[IPMA. Depressão ""pouco habitual"" pode trazer chuva e vento no domingo]]>",https://www.noticiasaominuto.com/pais/3039189/ipma-depressao-pouco-habitual-pode-trazer-chuva-e-vento-no-domingo#utm_source=rss-ultima-hora&amp;utm_medium=rss&amp;utm_campaign=rssfeed
