"query","search interest","increase percent"
"sintomas da menopausa",100,"0%"
"sintomas de menopausa",86,"-3%"
"pré menopausa sintomas",29,"20%"
"sintomas pré menopausa",29,"10%"
"pré menopausa",29,"10%"
"menopausa precoce",20,"-10%"
"sintomas menopausa precoce",19,"-10%"
"os sintomas da menopausa",19,"10%"
"menopausa precoce sintomas",19,"-10%"
"menopausa sintomas idade",17,"80%"
"sintomas menopausa idade",17,"90%"
"sintomas pre menopausa",17,"-10%"
"pre menopausa sintomas",17,"-10%"
"idade menopausa",16,"70%"
"menopausa idade",16,"70%"
"pre menopausa",16,"-10%"
"sintomas gravidez",10,"-7%"
"sintomas de pré menopausa",10,"10%"
"menopausa o que é",7,"130%"
"quais os sintomas da menopausa",7,"-30%"
"sintomas de gravidez",7,"10%"
"andropausa sintomas",6,"30%"
"andropausa",6,"30%"
"sintomas de menopausa precoce",6,"-8%"
"76 sintomas da menopausa",6,"Breakout"
"sintomas andropausa",6,"30%"
"sintomas da pré menopausa",6,"2%"
"idade da menopausa",5,"100%"
"perimenopausa sintomas",5,"500%"
"menopausa idade e sintomas",5,"30%"
"perimenopausa",5,"400%"
"menopausa sintomas iniciais",5,"-40%"
"sintomas de pre menopausa",5,"-20%"
"sintomas perimenopausa",5,"450%"
"pré-menopausa sintomas",4,"10%"
"sintomas da menopausa precoce",4,"-10%"
"sintomas da pre menopausa",3,"-40%"
"sintomas de menopausa aos 50",3,"60%"
"primeiros sintomas da menopausa",3,"20%"
"endometriose sintomas",3,"20%"
"sintomas da pré-menopausa",3,"160%"
"sintomas de menopausa aos 40",2,"300%"
"estrogênio",2,"300%"
"sinais de menopausa",2,"-20%"
"sintomas da menopausa aos 50",2,"50%"
"sintomas de ansiedade",2,"-10%"
"sintomas menopausa feminina",2,"7%"
"idade da menopausa e sintomas",2,"4%"
"sintomas da menopausa aos 40 anos",2,"Breakout"
"pré menstruação sintomas",2,"30%"
