id,titulo,canal,views,url,eixo,data_publicacao,thumbnail_url,created_at,channel_id,keyword_id
d1fcd8ba-67d4-4b01-8822-6c750345d0b4,"Novo centro em Lisboa aumenta capacidade de rastreio do cancro da mama","Câmara Municipal de Lisboa",143,https://www.youtube.com/watch?v=L5kXVEV9qC8,emergentes,2026-03-17,https://i.ytimg.com/vi/L5kXVEV9qC8/mqdefault.jpg,"2026-04-13 08:45:48.264282+00",UCSG2vPu_YmDVfoSbo7oItwQ,
6d7c9db8-5e8d-4154-9557-c22501237713,"Hospital Lusíadas Alfragide. Cuidamos do cérebro, da mente e do seu bem-estar.","Lusíadas Saúde",131,https://www.youtube.com/watch?v=AjxpF9qFhyA,saude-mental,2026-03-18,https://i.ytimg.com/vi/AjxpF9qFhyA/mqdefault.jpg,"2026-04-13 08:45:48.435808+00",UCHUSE3bPV9kDza-sGYk_pvQ,
19060787-071d-4275-b1b0-b9a5bd8fc29f,"Ouvido Clínico - Episódio 6 - Sobrevivi a um cancro. E agora?","Ordem dos Médicos",111,https://www.youtube.com/watch?v=We529y98qmY,emergentes,2026-02-04,https://i.ytimg.com/vi/We529y98qmY/mqdefault.jpg,"2026-04-13 08:45:48.599555+00",UCayuHV0f3y1-qHSzh07UhFg,
e91e2008-bd9b-4664-8716-6bf3859768de,"Webinar ""Nova plataforma PortFIR e a Tabela de Composição de Alimentos""",INSA,110,https://www.youtube.com/watch?v=ZFF2oLyS4Hk,alimentacao,2026-01-15,https://i.ytimg.com/vi/ZFF2oLyS4Hk/mqdefault.jpg,"2026-04-13 08:45:48.773062+00",UCEDsw4V8sNapYKeu3uXaeUg,
2ea6acbb-702a-4a47-b1ae-1103fc341fc4,"Dia Mundial da Obesidade - “Injeções para emagrecer”","Grupo HPA Saúde",106,https://www.youtube.com/watch?v=I2Da4AY8SJI,alimentacao,2026-03-04,https://i.ytimg.com/vi/I2Da4AY8SJI/mqdefault.jpg,"2026-04-13 08:45:48.958881+00",UCr7zkgwa5ELLwj0epToZIBg,
fbb1cac5-b844-4490-ae6c-f2d6cf7870d3,"T3 | Ep. 1 | Parkinson começa no intestino? O que a ciência já sabe",Bial,80,https://www.youtube.com/watch?v=aVI7xdsfOgE,alimentacao,2026-04-07,https://i.ytimg.com/vi/aVI7xdsfOgE/mqdefault.jpg,"2026-04-13 08:45:49.126029+00",UCcoeRBF4Ivdm4aCwTDZdYIA,
a79191f1-8509-4838-8af5-81ad7db0bc1b,"EP. 24 Vacinar ou esperar? A realidade da vacinação em Portugal​",Bial,87,https://www.youtube.com/watch?v=FOiA8bgm_vs,emergentes,2026-02-04,https://i.ytimg.com/vi/FOiA8bgm_vs/mqdefault.jpg,"2026-04-13 08:45:49.324076+00",UCcoeRBF4Ivdm4aCwTDZdYIA,
cac8b85b-cc6d-461b-a55d-3a6d9fb525fe,"12º Simpósio Nacional “Promoção de uma Alimentação Saudável, Segura e Sustentável – SPA_3S 2025",INSA,87,https://www.youtube.com/watch?v=UrinDXoxKyg,alimentacao,2026-01-19,https://i.ytimg.com/vi/UrinDXoxKyg/mqdefault.jpg,"2026-04-13 08:45:49.485214+00",UCEDsw4V8sNapYKeu3uXaeUg,
7bb536f5-fe25-4f17-b591-7179ef4eebb6,"“A Joana tem diabetes” - Participação 6.ª edição do Concurso Nacional Diabetes e as Escolas",DGS,64,https://www.youtube.com/watch?v=4B5dFrPDAOg,emergentes,2026-04-07,https://i.ytimg.com/vi/4B5dFrPDAOg/mqdefault.jpg,"2026-04-13 08:45:49.647601+00",UCNmv_2YqryuyhB79ehzOsmQ,
1d392efa-beef-49cc-b849-bfae238f7962,"Vera Nobre Ramos discute Menopausa | SPG+","Sociedade Portuguesa de Ginecologia",74,https://www.youtube.com/watch?v=v3R6wP95vYk,menopausa,2026-02-20,https://i.ytimg.com/vi/v3R6wP95vYk/mqdefault.jpg,"2026-04-13 08:45:49.802123+00",UCMhhHdT1z26KmamNK1Ppwcw,
7d26edf2-dc77-4c1c-a846-9ce55a43164c,"“Diabetes: (in)justiça do telemóvel” - Participação 6.ª ed. Concurso Nacional Diabetes e as Escolas",DGS,58,https://www.youtube.com/watch?v=a5UK1iZbiv4,emergentes,2026-04-02,https://i.ytimg.com/vi/a5UK1iZbiv4/mqdefault.jpg,"2026-04-13 08:45:50.131779+00",UCNmv_2YqryuyhB79ehzOsmQ,
aa521921-9f15-421e-8d1d-1d20c3f89ae7,"Oncologia Parte 02 | Drª Maria João Sousa e Enfª Sofia Santos – Podcast Rádio Onda Viva","Trofa Saúde",51,https://www.youtube.com/watch?v=x5xwqg48YOA,emergentes,2026-04-06,https://i.ytimg.com/vi/x5xwqg48YOA/mqdefault.jpg,"2026-04-13 08:45:50.277633+00",UCaX52_iMXdddasXv1zPuzzQ,
a4cfbf16-51ab-4bfe-a91b-8e36872f880d,"História Marcante Oncologia","Lusíadas Saúde",61,https://www.youtube.com/watch?v=P3Zq-J7Lkd0,emergentes,2026-02-04,https://i.ytimg.com/vi/P3Zq-J7Lkd0/mqdefault.jpg,"2026-04-13 08:45:50.432718+00",UCHUSE3bPV9kDza-sGYk_pvQ,
ef85b1ad-5eac-4136-809a-555d0fd3c2fd,"Guia prático de e para estudantes de Psicologia","Ordem dos Psicólogos",57,https://www.youtube.com/watch?v=k5mSraDbz_8,saude-mental,2026-02-26,https://i.ytimg.com/vi/k5mSraDbz_8/mqdefault.jpg,"2026-04-13 08:45:50.628799+00",UCCBlYMv3F6VkTsU57ZFUNyg,
