"query","search interest","increase percent"
"sarampo ou catapora",1,"Breakout"
"exantema subito",1,"300%"
"varicela é sarampo",8,"200%"
"sarampo em adulto",5,"200%"
"sarapo",2,"200%"
"sarampo vs varicela",3,"200%"
"sintomas de sarampo em adulto",1,"200%"
"sarampo en français",1,"190%"
"tipos de sarampo",2,"190%"
"sintomas sarampo adulto",3,"180%"
"varicela ou sarampo",13,"140%"
"varicela e sarampo",24,"130%"
"sarampo e varicela",24,"130%"
"catapora",7,"120%"
"sarampo ou varicela",13,"120%"
"coqueluche",1,"110%"
"rubeola virus",1,"110%"
"caxumba",2,"110%"
"vacina varicela",9,"110%"
"sarampo transmissão",5,"110%"
"sarampo em criança",3,"110%"
"sarampo in english",3,"100%"
"tetano",4,"90%"
"escarlatina sintomas",4,"90%"
"varicela tratamento",3,"90%"
"o que é sarampo",10,"90%"
"escarlatina",18,"80%"
"sarampo é contagioso",1,"80%"
"sarampo o que é",10,"80%"
"sarampo negro",1,"80%"
"sarampo varicela",95,"80%"
"varicela",94,"70%"
"varicela sarampo",94,"70%"
"measles portugues",1,"70%"
"sarampo adulto",9,"70%"
"rubéola sintomas",4,"70%"
"sarampo contágio",1,"70%"
"difteria",3,"70%"
"variola",5,"70%"
"manchas de koplik",2,"60%"
"exantema sarampo",7,"60%"
"manchas sarampo",19,"60%"
"papeira",14,"60%"
"sarampo manchas",19,"60%"
"exantema",7,"60%"
"sarampo em bebe",6,"60%"
"sarampo tratamento",11,"50%"
"alergia na pele",2,"50%"
"fotos sarampo",18,"50%"
"sarampo sintomas e tratamento",1,"50%"
