"query","search interest","increase percent"
"sarampo vacina",100,"-30%"
"vacina sarampo",100,"-40%"
"sarampo varicela",95,"80%"
"varicela sarampo",94,"70%"
"varicela",94,"70%"
"sarampo sintomas",89,"-6%"
"sintomas sarampo",89,"-7%"
"vacina do sarampo",28,"-40%"
"sarampo portugal",28,"20%"
"varicela e sarampo",24,"130%"
"sarampo e varicela",24,"130%"
"borbulhas sarampo",22,"40%"
"vacina de sarampo",21,"-10%"
"manchas sarampo",19,"60%"
"sarampo manchas",19,"60%"
"rubeola",19,"40%"
"sarampo fotos",18,"50%"
"fotos sarampo",18,"50%"
"sarampo bebe",18,"20%"
"escarlatina",18,"80%"
"sintomas varicela",17,"50%"
"varicela sintomas",17,"50%"
"sintomas de sarampo",16,"-30%"
"papeira",14,"60%"
"varicela ou sarampo",13,"140%"
"sarampo ou varicela",13,"120%"
"rubéola",13,"40%"
"sarampo virus",12,"30%"
"vacina sarampo portugal",12,"20%"
"virus sarampo",12,"30%"
"sarampo em portugal",12,"30%"
"vacinas sarampo",12,"-30%"
"vacinação sarampo",11,"-40%"
"imagens sarampo",11,"20%"
"sarampo tratamento",11,"50%"
"o que é sarampo",10,"90%"
"sarampo imagens",10,"6%"
"vacina contra sarampo",10,"-20%"
"sarampo o que é",10,"80%"
"tratamento sarampo",10,"50%"
"measles",10,"40%"
"sintomas do sarampo",10,"-8%"
"sintomas vacina sarampo",9,"40%"
"dgs sarampo",9,"-50%"
"vacina sarampo sintomas",9,"20%"
"sarampo adulto",9,"70%"
"sarampo dgs",9,"-50%"
"vacina varicela",9,"110%"
"sarampo ingles",8,"30%"
"varicela é sarampo",8,"200%"
