"Region","menopausa"
"Beja District",100
"Viseu District",90
"Santarém District",71
"Leiria District",70
"Viana do Castelo District",70
"Aveiro District",69
"Azores",69
"Porto District",68
"Setubal",68
"Évora District",63
"Braga",60
"Lisbon",59
"Vila Real District",59
"Coimbra District",57
"Castelo Branco District",55
"Faro District",51
"Bragança District",11
"Guarda District",9
"Madeira",9
"Portalegre District",8
