"Region","menopausa"
"Beja District",100
"Évora District",99
"Bragança District",97
"Coimbra District",89
"Setubal",87
"Viseu District",84
"Aveiro District",79
"Lisbon",79
"Santarém District",79
"Porto District",76
"Leiria District",70
"Azores",70
"Castelo Branco District",69
"Braga",67
"Faro District",67
"Guarda District",67
"Viana do Castelo District",58
"Vila Real District",54
"Madeira",13
