"Region","menopausa"
"Beja District",100
"Évora District",96
"Azores",87
"Portalegre District",85
"Viseu District",84
"Guarda District",80
"Santarém District",75
"Setubal",75
"Aveiro District",73
"Viana do Castelo District",73
"Vila Real District",72
"Leiria District",69
"Braga",67
"Porto District",67
"Lisbon",66
"Coimbra District",65
"Castelo Branco District",63
"Faro District",62
"Bragança District",60
"Madeira",10
