"Region","menopausa"
"Évora District",100
"Beja District",89
"Leiria District",84
"Setubal",83
"Viana do Castelo District",83
"Santarém District",82
"Lisbon",79
"Guarda District",78
"Aveiro District",77
"Braga",77
"Castelo Branco District",76
"Viseu District",75
"Azores",74
"Portalegre District",73
"Coimbra District",70
"Vila Real District",68
"Porto District",67
"Faro District",66
"Bragança District",59
"Madeira",14
