"query","search interest","increase percent"
"sintomas menopausa",100,"20%"
"menopausa sintomas",96,"9%"
"sintomas da menopausa",42,"-1%"
"pre menopausa",34,"7%"
"sintomas de menopausa",33,"20%"
"menopausa idade",31,"-10%"
"climacare menopausa",27,"3%"
"pos menopausa",12,"-50%"
"menopausa precoce",12,"20%"
"peri menopausa",8,"-20%"
"afax",8,"3%"
"sintomas pre menopausa",6,"-10%"
