"query","search interest","increase percent"
"menopausa sintomas",100,"7%"
"sintomas menopausa",99,"7%"
"idade menopausa",33,"5%"
"sintomas de menopausa",32,"-20%"
"climacare menopausa",32,"30%"
"menopausa idade",32,"-20%"
"pre menopausa",32,"20%"
"pos menopausa",31,"80%"
"sintomas da menopausa",29,"-40%"
"climacare",23,"0%"
"peri menopausa",20,"80%"
"suplemento menopausa",19,"-40%"
"andropausa",15,"-5%"
"estradiol",15,"30%"
"menopausa precoce",14,"-10%"
"progesterona",14,"50%"
"perimenopausa",8,"Breakout"
"reposição hormonal menopausa",8,"0%"
"medicamento para menopausa",6,"-40%"
"emagrecer na menopausa",4,"Breakout"
"reposição hormonal na menopausa",4,"Breakout"
"suplementos para menopausa",4,"-80%"
"lactoflora",3,"Breakout"
"idade da menopausa",3,"-80%"
"afax",3,"Breakout"
"sintomas pre menopausa",3,"Breakout"
"clima care",3,"-60%"
"pré menopausa sintomas",3,"Breakout"
"confidence",3,"-80%"
"flavia menopausa",3,"Breakout"
"terapia hormonal menopausa",2,"Breakout"
"ginecologista especialista em menopausa",2,"Breakout"
"flavia nocta",2,"Breakout"
"menopausa precoce sintomas",1,"Breakout"
"menopausa dos homens",1,"Breakout"
"implante hormonal menopausa",1,"Breakout"
"como emagrecer na menopausa",1,"Breakout"
"veoza",1,"Breakout"
"sintomas de pré menopausa",1,"Breakout"
"cimicifuga racemosa menopausa",0,"-100%"
